TIME,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2020-05-02 03:00:00,815.2277636594663,875.5546378653111,1104.4644218551457,1033.3659466327827,1423.1464421855142,1948.0098475222358,2115.800190597204,2148.4342439644215,2177.6956797966964,2239.2449174078774,1708.122617534942,1260.051461245235
2020-05-02 04:00:00,816.594526154172,877.1451440067766,1105.8029722575177,1034.5716465480727,1424.2196018636166,1948.4921892206687,2116.203162854722,2148.8193254976704,2177.9329563744177,2243.638254976704,1708.715241423125,1261.1044149724694
2020-05-02 05:00:00,817.9612886488776,878.7356501482421,1107.1415226598897,1035.7773464633628,1425.292761541719,1948.9745309191014,2116.6061351122403,2149.2044070309194,2178.170232952139,2248.031592545531,1709.307865311308,1262.1573686997037
2020-05-02 06:00:00,819.3280511435831,880.3261562897076,1108.4800730622615,1036.983046378653,1426.3659212198218,1949.4568726175344,2117.009107369758,2149.589488564168,2178.4075095298604,2252.4249301143577,1709.900489199491,1263.2103224269379
2020-05-02 07:00:00,820.6948136382888,881.9166624311731,1109.8186234646334,1038.1887462939433,1427.4390808979242,1949.9392143159673,2117.412079627276,2149.9745700974163,2178.6447861075817,2256.8182676831843,1710.493113087674,1264.2632761541722
2020-05-02 08:00:00,822.0615761329944,883.5071685726385,1111.1571738670052,1039.3944462092334,1428.5122405760267,1950.4215560144,2117.8150518847942,2150.359651630665,2178.882062685303,2261.2116052520114,1711.085736975857,1265.3162298814063
2020-05-02 09:00:00,823.4283386277001,885.0976747141041,1112.4957242693772,1040.6001461245235,1429.5854002541291,1950.903897712833,2118.218024142312,2150.7447331639137,2179.1193392630244,2265.604942820838,1711.6783608640399,1266.3691836086407
2020-05-02 10:00:00,824.7951011224058,886.6881808555695,1113.834274671749,1041.8058460398136,1430.6585599322316,1951.386239411266,2118.6209963998303,2151.129814697162,2179.3566158407457,2269.9982803896646,1712.2709847522228,1267.4221373358748
2020-05-02 11:00:00,826.1618636171114,888.278686997035,1115.172825074121,1043.0115459551037,1431.7317196103343,1951.8685811096987,2119.023968657348,2151.514896230411,2179.593892418467,2274.3916179584917,1712.8636086404058,1268.475091063109
2020-05-02 12:00:00,827.528626111817,889.8691931385005,1116.5113754764927,1044.2172458703938,1432.8048792884367,1952.3509228081316,2119.426940914866,2151.8999777636595,2179.831168996188,2278.7849555273183,1713.4562325285888,1269.5280447903433
2020-05-02 13:00:00,828.8953886065226,891.459699279966,1117.8499258788647,1045.4229457856839,1433.8780389665392,1952.8332645065645,2119.8299131723843,2152.285059296908,2180.0684455739092,2283.1782930961454,1714.0488564167717,1270.5809985175774
2020-05-02 14:00:00,830.2621511012283,893.0502054214314,1119.1884762812365,1046.6286457009742,1434.9511986446416,1953.3156062049973,2120.232885429902,2152.670140830157,2180.3057221516306,2287.571630664972,1714.6414803049547,1271.6339522448118
2020-05-02 15:00:00,831.6289135959339,894.640711562897,1120.5270266836085,1047.8343456162643,1436.024358322744,1953.7979479034302,2120.63585768742,2153.0552223634054,2180.542998729352,2291.9649682337986,1715.2341041931377,1272.686905972046
2020-05-02 16:00:00,832.9956760906396,896.2312177043624,1121.8655770859802,1049.0400455315544,1437.0975180008465,1954.280289601863,2121.0388299449382,2153.440303896654,2180.780275307073,2296.3583058026256,1715.8267280813207,1273.73985969928
2020-05-02 17:00:00,834.3624385853451,897.8217238458279,1123.2041274883522,1050.2457454468445,1438.1706776789492,1954.7626313002959,2121.441802202456,2153.825385429903,2181.0175518847946,2300.7516433714522,1716.4193519695036,1274.7928134265144
2020-05-02 18:00:00,835.7292010800508,899.4122299872934,1124.542677890724,1051.4514453621346,1439.2438373570517,1955.2449729987288,2121.8447744599744,2154.2104669631512,2181.254828462516,2305.144980940279,1717.0119758576866,1275.8457671537485
2020-05-02 19:00:00,837.0959635747564,901.0027361287589,1125.881228293096,1052.6571452774247,1440.3169970351541,1955.7273146971615,2122.247746717492,2154.5955484964,2181.492105040237,2309.538318509106,1717.6045997458696,1276.8987208809829
2020-05-02 20:00:00,838.4627260694621,902.5932422702243,1127.2197786954678,1053.8628451927148,1441.3901567132566,1956.2096563955945,2122.65071897501,2154.9806300296486,2181.7293816179586,2313.9316560779325,1718.1972236340525,1277.951674608217
2020-05-02 21:00:00,839.8294885641677,904.1837484116899,1128.5583290978398,1055.068545108005,1442.463316391359,1956.6919980940274,2123.0536912325283,2155.365711562897,2181.96665819568,2318.324993646759,1718.7898475222355,1279.0046283354513
2020-05-02 22:00:00,841.1962510588733,905.7742545531553,1129.8968795002115,1056.2742450232952,1443.5364760694617,1957.1743397924602,2123.456663490046,2155.750793096146,2182.203934773401,2322.718331215586,1719.3824714104185,1280.0575820626855
2020-05-02 23:00:00,842.5630135535789,907.3647606946208,1131.2354299025835,1057.4799449385853,1444.6096357475642,1957.656681490893,2123.859635747564,2156.1358746293945,2182.4412113511225,2327.111668784413,1719.9750952986014,1281.1105357899196
2020-05-03 00:00:00,843.9297760482846,908.9552668360863,1132.5739803049553,1058.6856448538754,1445.6827954256667,1958.139023189326,2124.2626080050823,2156.520956162643,2182.678487928844,2331.5050063532394,1720.5677191867844,1282.163489517154
2020-05-03 01:00:00,845.2965385429902,910.5457729775518,1133.9125307073273,1059.8913447691655,1446.755955103769,1958.6213648877588,2124.6655802626,2156.906037695892,2182.915764506565,2335.8983439220665,1721.1603430749674,1283.216443244388
