TIME,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2020-05-04 03:00:00,176.56825396825403,318.3066666666667,564.7438095238097,448.8907936507936,949.5536507936511,2643.796825396826,3774.8209523809533,3856.8406349206352,4097.033015873017,4012.9806349206356,1699.1152380952385,937.2914285714287
2020-05-04 04:00:00,177.0055767195768,318.5157839506173,565.1712971781307,449.59729541446205,950.3501596119934,2642.4122319223998,3771.2368871252215,3853.480637566138,4093.216985890653,4009.5230758377434,1698.9241322751327,937.529343915344
2020-05-04 05:00:00,177.44289947089956,318.7249012345679,565.5987848324517,450.3037971781305,951.1466684303355,2641.027638447973,3767.6528218694893,3850.1206402116404,4089.40095590829,4006.0655167548507,1698.733026455027,937.7672592592594
2020-05-04 06:00:00,177.8802222222223,318.93401851851854,566.0262724867727,451.0102989417989,951.9431772486777,2639.6430449735462,3764.0687566137576,3846.760642857143,4085.5849259259267,4002.6079576719585,1698.541920634921,938.0051746031747
2020-05-04 07:00:00,178.31754497354507,319.14313580246915,566.4537601410937,451.71680070546734,952.7396860670198,2638.2584514991195,3760.4846913580254,3843.4006455026456,4081.7688959435636,3999.150398589066,1698.3508148148153,938.2430899470901
2020-05-04 08:00:00,178.7548677248678,319.35225308641975,566.8812477954145,452.42330246913576,953.536194885362,2636.8738580246927,3756.9006261022937,3840.0406481481486,4077.9528659612,3995.6928395061736,1698.1597089947095,938.4810052910054
2020-05-04 09:00:00,179.19219047619058,319.56137037037035,567.3087354497355,453.1298042328042,954.332703703704,2635.4892645502655,3753.3165608465615,3836.6806507936512,4074.1368359788366,3992.235280423281,1697.9686031746037,938.7189206349208
2020-05-04 10:00:00,179.6295132275133,319.770487654321,567.7362231040565,453.8363059964726,955.1292125220463,2634.1046710758387,3749.73249559083,3833.320653439154,4070.3208059964736,3988.777721340389,1697.7774973544979,938.9568359788361
2020-05-04 11:00:00,180.06683597883605,319.9796049382716,568.1637107583775,454.54280776014105,955.9257213403883,2632.720077601412,3746.148430335098,3829.9606560846564,4066.50477601411,3985.320162257496,1697.5863915343919,939.1947513227515
2020-05-04 12:00:00,180.50415873015882,320.1887222222222,568.5911984126985,455.24930952380953,956.7222301587306,2631.335484126985,3742.564365079366,3826.600658730159,4062.6887460317466,3981.862603174604,1697.395285714286,939.4326666666668
2020-05-04 13:00:00,180.94148148148156,320.39783950617283,569.0186860670195,455.95581128747796,957.5187389770726,2629.9508906525584,3738.980299823634,3823.2406613756616,4058.8727160493836,3978.4050440917113,1697.2041798941802,939.6705820105822
2020-05-04 14:00:00,181.37880423280433,320.6069567901235,569.4461737213405,456.6623130511464,958.3152477954148,2628.5662971781317,3735.396234567902,3819.880664021164,4055.05668606702,3974.947485008819,1697.0130740740744,939.9084973544975
2020-05-04 15:00:00,181.81612698412707,320.8160740740741,569.8736613756615,457.3688148148148,959.1117566137569,2627.181703703705,3731.81216931217,3816.520666666667,4051.240656084657,3971.4899259259264,1696.8219682539686,940.1464126984129
2020-05-04 16:00:00,182.25344973544983,321.0251913580247,570.3011490299825,458.07531657848324,959.9082654320991,2625.797110229278,3728.228104056438,3813.16066931217,4047.4246261022936,3968.032366843034,1696.6308624338628,940.3843280423282
2020-05-04 17:00:00,182.69077248677257,321.2343086419753,570.7286366843035,458.78181834215167,960.7047742504413,2624.4125167548514,3724.6440388007063,3809.8006719576724,4043.60859611993,3964.5748077601415,1696.439756613757,940.6222433862436
2020-05-04 18:00:00,183.12809523809534,321.4434259259259,571.1561243386245,459.4883201058201,961.5012830687834,2623.0279232804246,3721.0599735449746,3806.440674603175,4039.792566137567,3961.1172486772493,1696.2486507936512,940.8601587301589
2020-05-04 19:00:00,183.56541798941808,321.65254320987657,571.5836119929454,460.1948218694885,962.2977918871256,2621.6433298059974,3717.4759082892424,3803.0806772486776,4035.9765361552036,3957.6596895943567,1696.0575449735454,941.0980740740742
2020-05-04 20:00:00,184.00274074074082,321.8616604938272,572.0110996472664,460.90132363315695,963.0943007054677,2620.2587363315706,3713.8918430335107,3799.72067989418,4032.16050617284,3954.2021305114645,1695.8664391534396,941.3359894179896
2020-05-04 21:00:00,184.4400634920636,322.0707777777778,572.4385873015874,461.6078253968254,963.8908095238099,2618.874142857144,3710.3077777777785,3796.360682539683,4028.344476190477,3950.7445714285723,1695.6753333333338,941.5739047619049
2020-05-04 22:00:00,184.87738624338633,322.2798950617284,572.8660749559084,462.3143271604938,964.687318342152,2617.489549382717,3706.7237125220468,3793.0006851851854,4024.5284462081136,3947.2870123456796,1695.484227513228,941.8118201058202
2020-05-04 23:00:00,185.3147089947091,322.48901234567904,573.2935626102294,463.02082892416223,965.4838271604942,2616.1049559082903,3703.1396472663146,3789.640687830688,4020.7124162257505,3943.8294532627874,1695.2931216931222,942.0497354497355
2020-05-05 00:00:00,185.75203174603183,322.69812962962965,573.7210502645504,463.72733068783066,966.2803359788363,2614.7203624338636,3699.555582010583,3786.280690476191,4016.896386243387,3940.3718941798948,1695.1020158730164,942.2876507936509
2020-05-05 01:00:00,186.1893544973546,322.90724691358025,574.1485379188714,464.4338324514991,967.0768447971785,2613.335768959437,3695.971516754851,3782.9206931216936,4013.0803562610236,3936.9143350970025,1694.9109100529104,942.5255661375662
2020-05-05 02:00:00,186.62667724867734,323.11636419753086,574.5760255731924,465.1403342151675,967.8733536155206,2611.95117548501,3692.387451499119,3779.560695767196,4009.2643262786605,3933.45677601411,1694.7198042328046,942.7634814814816
